token,0
млн,1563
россии,1554
компании,1369
руб,1267
млрд,1117
тыс,817
рынка,712
данных,603
рф,595
связи,582
сша,572
место,547
господин,545
компания,524
российских,515
числе,509
например,508
федерации,495
команды,474
словам,473
чемпионата,469
данным,457
считает,422
матч,422
ранее,416
компаний,414
рынке,406
турнира,404
рост,404
материале,402
решение,399
итогам,398
пользователей,395
случае,390
момент,371
матче,362
очков,355
ии,354
таких,352
российские,352
лиги,352
директор,352
октября,350
среди,343
сентября,340
рынок,339
является,336
клуба,334
количество,331
клуб,330
данные,329
сразу,323
матча,323
счет,322
цска,316
см,311
первой,310
игры,308
следует,307
сезона,307
российского,304
мтс,302
стороны,301
работы,301
александр,301
идет,296
манчестер,295
динамо,295
чемпионате,294
счетом,293
решения,292
новых,292
российской,289
организации,287
ассоциации,285
сезоне,285
спорта,285
сборной,284
игроков,284
заявил,283
сообщил,283
информации,283
рамках,280
команда,278
отмечает,275
мяч,272
прошлого,272
ноября,269
первом,267
президента,261
число,261
российский,260
последние,260
прошлом,256
января,255
сити,254
развития,253
зенит,252
титул,252
стали,251
президент,247
матчей,247
системы,246
страны,245
суд,244
говорят,241
мок,240
целом,240
начале,240
котором,240
международной,239
поэтому,239
втором,238
декабря,238
бизнеса,237
дело,235
стало,235
сети,233
свой,233
операторов,233
сервисов,232
конце,232
контента,231
частности,231
роста,230
речь,230
победу,229
несмотря,228
часть,228
участники,226
проблемы,225
чемпионов,224
возможность,224
области,224
правда,223
говорится,222
благодаря,222
вопрос,222
категории,220
период,220
августа,219
ним,219
яндекс,218
должны,218
трех,218
должен,215
гендиректор,214
андрей,214
первого,213
господина,211
стоимость,210
подряд,210
глава,210
чемпиона,209
стала,208
таким,206
владимир,206
сообщили,205
сервиса,204
которое,203
оборудования,203
дмитрий,202
платформы,202
считают,202
федерация,201
впервые,201
месяцев,200
работе,200
игр,198
нового,197
отметил,196
мнению,196
рейтинге,195
сервис,195
спортсменов,194
клубов,193
получил,193
видео,193
турнир,192
занимает,190
проекта,190
объясняет,190
итоге,190
примерно,188
новые,187
проект,186
своем,184
футбола,183
чемпионат,182
матчах,182
достаточно,182
поскольку,181
счету,181
согласно,180
рассказал,180
го,180
сезон,180
доступ,179
добавляет,179
алексей,178
причем,178
практически,178
которую,177
истории,177
команд,177
турнире,176
составляет,176
образом,175
кубка,175
такого,175
объем,174
удалось,174
группы,174
новый,174
участие,174
помощью,174
услуг,173
главный,173
большого,172
месте,172
первую,171
эксперты,171
вполне,170
сообщила,170
технологий,169
стоит,169
электроники,168
оказался,168
летом,168
доля,167
развитие,167
отмечают,166
комитета,166
сервисы,164
раза,163
чемпион,163
безопасности,162
работает,162
данный,162
первое,161
течение,161
россия,161
победы,161
стран,161
прежде,160
скорее,160
мире,160
уровне,159
выручка,159
продажи,159
пост,159
участников,158
